	Unnamed: 0	index	genome	identifier	file	clip	scale	sum_stat	description	track_type
22	22	22	1	ENCFF395XSI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNJ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver male embryo (14.5 days)	DNASE
23	23	23	1	ENCFF906XJY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNK/summary/coverage.w5	32	2	mean	DNASE:129 liver male embryo (14.5 days)	DNASE
24	24	24	1	ENCFF435WED	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNL/summary/coverage.w5	32	2	mean	DNASE:129 liver male embryo (14.5 days)	DNASE
25	25	25	1	ENCFF102MGA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung male adult (8 weeks)	DNASE
26	26	26	1	ENCFF990ATO	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNN/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line	DNASE
27	27	27	1	ENCFF673VVB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNO/summary/coverage.w5	32	2	mean	DNASE:CD-1 mesoderm male embryo (11.5 days)	DNASE
28	28	28	1	ENCFF223QRV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNP/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL-GATA-1-ER	DNASE
29	29	29	1	ENCFF516XER	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNQ/summary/coverage.w5	32	2	mean	DNASE:DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 24 hours	DNASE
30	30	30	1	ENCFF178FCM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNR/summary/coverage.w5	32	2	mean	DNASE:DBA/2 erythroblast originated from MEL-GATA-1-ER treated with 1 uM estradiol for 48 hours	DNASE
31	31	31	1	ENCFF950ALJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNS/summary/coverage.w5	32	2	mean	DNASE:NIH/Swiss NIH3T3	DNASE
32	32	32	1	ENCFF632WLC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNT/summary/coverage.w5	32	2	mean	DNASE:M.spretus x C57BL/6J Patski	DNASE
33	33	33	1	ENCFF908NIP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male postnatal (7 days)	DNASE
34	34	34	1	ENCFF261PZG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNV/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male postnatal (1 day)	DNASE
35	35	35	1	ENCFF259ZNG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina male adult (8 weeks)	DNASE
36	36	36	1	ENCFF731YAA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 skeletal muscle tissue male adult (8 weeks)	DNASE
37	37	37	1	ENCFF546FZT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 spleen male adult (8 weeks)	DNASE
38	38	38	1	ENCFF896PZK	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 CD4-positive helper T cell male adult (8 weeks)	DNASE
39	39	39	1	ENCFF540HLI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COB/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 thymus male adult (8 weeks)	DNASE
40	40	40	1	ENCFF242YCJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 induced T-regulatory cell male adult (8 weeks)	DNASE
41	41	41	1	ENCFF992QCB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male embryo (14.5 days)	DNASE
42	42	42	1	ENCFF257BKZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COF/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male adult (8 weeks)	DNASE
43	43	43	1	ENCFF333MPS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 brain male embryo (18.5 days)	DNASE
44	44	44	1	ENCFF424XOH	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COH/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC	DNASE
45	45	45	1	ENCFF448ZJM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COI/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 24 hours	DNASE
46	46	46	1	ENCFF825ZVT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000COJ/summary/coverage.w5	32	2	mean	DNASE:129 ZHBTc4-mESC treated with 100 ng/mL doxycycline hyclate for 6 hours	DNASE
47	47	47	1	ENCFF513QAB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR005WPU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart postnatal (0 days)	DNASE
48	48	48	1	ENCFF009ALP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR014SFF/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (11.50 days)	DNASE
49	49	49	1	ENCFF299KAN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR066DPD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 kidney postnatal (0 days)	DNASE
50	50	50	1	ENCFF417SAZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR094XAY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung postnatal (0 days)	DNASE
51	51	51	1	ENCFF829UGS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR172RHR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (10.5 days)	DNASE
52	52	52	1	ENCFF107NBQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR179PIH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (14.5 days)	DNASE
53	53	53	1	ENCFF373NJX	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR196VDE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (11.5 days)	DNASE
54	54	54	1	ENCFF540VTK	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR216UMD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver postnatal (0 days)	DNASE
55	55	55	1	ENCFF888LAZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR289BTM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (10.50 days)	DNASE
56	56	56	1	ENCFF906WCV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR292QBA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (11.5 days)	DNASE
57	57	57	1	ENCFF649UQO	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR312QVY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 neural tube embryo (11.5 days)	DNASE
58	58	58	1	ENCFF729TAB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR319PWR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 R1	DNASE
59	59	59	1	ENCFF149TTQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR337EDG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (14.5 days)	DNASE
60	60	60	1	ENCFF943PHW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR358ESL/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain embryo (11.5 days)	DNASE
61	61	61	1	ENCFF115OLL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR367FCW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (14.5 days)	DNASE
62	62	62	1	ENCFF963PGF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR372SMH/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line treated with 125 uM zinc dichloride for 24 hours	DNASE
63	63	63	1	ENCFF625SMQ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR380VCU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (10.50 days)	DNASE
64	64	64	1	ENCFF155MQS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR446MUM/summary/coverage.w5	32	2	mean	DNASE:DBA/2 MEL cell line	DNASE
65	65	65	1	ENCFF283WGI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR469VGZ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 hindbrain postnatal (0 days)	DNASE
66	66	66	1	ENCFF266ZDD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR488VEQ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 retina embryo (14.5 days)	DNASE
67	67	67	1	ENCFF076VZF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR561FZE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 liver embryo (11.50 days)	DNASE
68	68	68	1	ENCFF802BPW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR636NXY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (14.5 days)	DNASE
69	69	69	1	ENCFF622EDP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR655WKX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 intestine embryo (14.50 days)	DNASE
70	70	70	1	ENCFF945EBN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR661GMU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 neural tube embryo (10.50 days)	DNASE
71	71	71	1	ENCFF641OPE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR661HDP/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 limb embryo (11.5 days)	DNASE
72	72	72	1	ENCFF586XFN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR666HFH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 Muller cell postnatal (12 days)	DNASE
73	73	73	1	ENCFF435DKT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR687EAW/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 3T3-L1	DNASE
74	74	74	1	ENCFF363ULE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR687JCD/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (9.50 days)	DNASE
75	75	75	1	ENCFF894XDN	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR723IXU/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (10 days)	DNASE
76	76	76	1	ENCFF919AUF	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR732IZK/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 MN1	DNASE
77	77	77	1	ENCFF043UNG	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR742DUR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 lung embryo (14.5 days)	DNASE
78	78	78	1	ENCFF071TLE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR749ILN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart embryo (10.50 days)	DNASE
79	79	79	1	ENCFF247KMU	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR756SPS/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain embryo (10.50 days)	DNASE
80	80	80	1	ENCFF610ONZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR767AJS/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain postnatal (0 days)	DNASE
81	81	81	1	ENCFF327SCP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR773SAG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 midbrain embryo (10.50 days)	DNASE
82	82	82	1	ENCFF846VXR	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR774TQO/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryo embryo (11 day)	DNASE
83	83	83	1	ENCFF458SNJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR775YJL/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (10.50 days)	DNASE
84	84	84	1	ENCFF684BQC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR791AJY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 forebrain postnatal (0 days)	DNASE
85	85	85	1	ENCFF014NWA	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR855ASN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 acute myeloid leukemia	DNASE
86	86	86	1	ENCFF353HPD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR894HWV/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 yolk sac embryo (10.50 days)	DNASE
87	87	87	1	ENCFF514HPX	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR898KAX/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 MN1 treated with 10 nM methyltrienolone	DNASE
88	88	88	1	ENCFF125IRZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR935RRY/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 thymus postnatal (0 days)	DNASE
89	89	89	1	ENCFF580UUE	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR959HKR/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 embryonic facial prominence embryo (14.5 days)	DNASE
90	90	90	1	ENCFF974HWL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR964VDK/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 R1	DNASE
91	91	91	1	ENCFF197TQR	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR969OPE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 stomach postnatal (0 days)	DNASE
92	92	92	1	ENCFF325RFB	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR998KYQ/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 adipocyte	DNASE
93	93	93	1	GSM1479701	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479701/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 2 WT / Liver, WT, ZT 2, DNase / .	DNASE
94	94	94	1	GSM1479702	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479702/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 6 WT / Liver, WT, ZT 6, DNase / .	DNASE
95	95	95	1	GSM1479703	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479703/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 10 WT / Liver, WT, ZT 10, DNase / .	DNASE
96	96	96	1	GSM1479704	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479704/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 14 WT / Liver, WT, ZT 14, DNase / .	DNASE
97	97	97	1	GSM1479705	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479705/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 18 WT / Liver, WT, ZT 18, DNase / .	DNASE
98	98	98	1	GSM1479706	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479706/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 22 WT / Liver, WT, ZT 22, DNase / .	DNASE
99	99	99	1	GSM1479707	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479707/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 26 WT / Liver, WT, ZT 26, DNase / .	DNASE
100	100	100	1	GSM1479708	/home/drk/tillage/datasets/mouse/dnase/geo/GSM1479708/summary/coverage.w5	64	1	sum	DNASE:DNase ZT 6 Bmal1 KO / Liver, Bmal1 KO, ZT 6, DNase / .	DNASE
101	101	101	1	ENCFF745RFR	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR012YAB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (11.5 days)	ATAC
102	102	102	1	ENCFF446XWP	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR023QZX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 kidney embryo (15.5 days)	ATAC
103	103	103	1	ENCFF700IKY	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR064IHX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte-erythroid progenitor cell male adult (5-6 weeks)	ATAC
104	104	104	1	ENCFF769BOR	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR079GOY/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 intestine postnatal (0 days)	ATAC
105	105	105	1	ENCFF860QUH	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR088UYE/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (12.5 days)	ATAC
106	106	106	1	ENCFF242FBC	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR096JCC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (16.5 days)	ATAC
107	107	107	1	ENCFF823RLW	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR102NGD/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 lung postnatal (0 days)	ATAC
108	108	108	1	ENCFF570DUW	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR136XSY/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 erythroid progenitor cell male adult (5-6 weeks)	ATAC
109	109	109	1	ENCFF321AYT	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR176BYZ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (13.5 days)	ATAC
110	110	110	1	ENCFF517RIA	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR229QKB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte progenitor cell male adult (5-6 weeks)	ATAC
111	111	111	1	ENCFF408OOS	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR257PGU/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 granulocyte monocyte progenitor cell male adult (5-6 weeks)	ATAC
112	112	112	1	ENCFF060HRT	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR273UFV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (11.5 days)	ATAC
113	113	113	1	ENCFF731NRD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR280ZDP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 G1E	ATAC
114	114	114	1	ENCFF643SRL	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR302LIV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver embryo (12.5 days)	ATAC
115	115	115	1	ENCFF092DWB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR310MLB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain postnatal (0 days)	ATAC
116	116	116	1	ENCFF609BWE	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR312LQX/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain postnatal (0 days)	ATAC
117	117	117	1	ENCFF161EJL	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR351YUI/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 neutrophil adult (5-6 weeks)	ATAC
118	118	118	1	ENCFF683WEV	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR366VBB/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hematopoietic stem cell adult (5-6 weeks)	ATAC
119	119	119	1	ENCFF889QAK	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR382RUC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (11.5 days)	ATAC
120	120	120	1	ENCFF513ECX	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR428BSK/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	ATAC
121	121	121	1	ENCFF564GWQ	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR453AWR/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hematopoietic stem cell	ATAC
122	122	122	1	ENCFF190LKP	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR468GUI/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (15.5 days)	ATAC
123	123	123	1	ENCFF047WUY	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR498DQA/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 megakaryocyte male adult (5-6 weeks)	ATAC
124	124	124	1	ENCFF329SPM	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR554JQP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 cerebellum adult	ATAC
125	125	125	1	ENCFF917SGA	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR559FAJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (12.5 days)	ATAC
126	126	126	1	ENCFF238AZB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR597BGP/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 stomach postnatal (0 days)	ATAC
127	127	127	1	ENCFF770CQD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR609OHJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver postnatal (0 days)	ATAC
128	128	128	1	ENCFF956ZAH	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR623GSD/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 hindbrain embryo (16.5 days)	ATAC
129	129	129	1	ENCFF196PJB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR732OTZ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 kidney embryo (16.5 days)	ATAC
130	130	130	1	ENCFF331KWS	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR785NEL/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 liver embryo (11.5 days)	ATAC
131	131	131	1	ENCFF321OJD	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR793RAV/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 erythroblast male adult (5-6 weeks)	ATAC
132	132	132	1	ENCFF845NRJ	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR810HQR/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (14.5 days)	ATAC
133	133	133	1	ENCFF810TCB	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR819QOJ/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 midbrain embryo (13.5 days)	ATAC
134	134	134	1	ENCFF960LTM	/home/drk/tillage/datasets/mouse/atac/encode/ENCSR836PUC/summary/coverage.w5	32	2	mean	ATAC:C57BL/6 forebrain embryo (16.5 days)	ATAC
